case_number,specimen_id,sweep_number,recording_selection,model_condition,metric,value,status,non_evaluable_reason,non_evaluable_category,applicability_rule
37,471087830,49,long_square_first_spiking,glif_stored_grid,absolute_steady_state_delta_voltage_error_mV,,non_evaluable,insufficient_coverage,scientific_output_induced,long_square_coverage_contract
38,471087830,49,long_square_first_spiking,glif_recording_grid,absolute_spike_count_error,78,calculated,,calculated,unconditional
38,471087830,49,long_square_first_spiking,glif_recording_grid,absolute_first_spike_latency_error_ms,1.2575404767096732,calculated,,calculated,conditional_on_recording_and_model_spikes
38,471087830,49,long_square_first_spiking,glif_recording_grid,absolute_steady_state_delta_voltage_error_mV,,non_evaluable,insufficient_coverage,scientific_output_induced,long_square_coverage_contract
39,471087830,49,long_square_first_spiking,perisomatic_recording_grid_playback,absolute_spike_count_error,104,calculated,,calculated,unconditional
39,471087830,49,long_square_first_spiking,perisomatic_recording_grid_playback,absolute_first_spike_latency_error_ms,3.899999998445036,calculated,,calculated,conditional_on_recording_and_model_spikes
39,471087830,49,long_square_first_spiking,perisomatic_recording_grid_playback,absolute_steady_state_delta_voltage_error_mV,,non_evaluable,insufficient_coverage,scientific_output_induced,long_square_coverage_contract
40,471087830,15,short_square_first_spiking,glif_stored_grid,absolute_spike_count_error,0,calculated,,calculated,unconditional
40,471087830,15,short_square_first_spiking,glif_stored_grid,absolute_first_spike_latency_error_ms,,non_evaluable,no_in_window_spike,conditional_spike_absence,conditional_on_recording_and_model_spikes
40,471087830,15,short_square_first_spiking,glif_stored_grid,absolute_steady_state_delta_voltage_error_mV,,non_evaluable,not_applicable_to_protocol,protocol_structural,long_square_coverage_contract
41,471087830,15,short_square_first_spiking,glif_recording_grid,absolute_spike_count_error,0,calculated,,calculated,unconditional
41,471087830,15,short_square_first_spiking,glif_recording_grid,absolute_first_spike_latency_error_ms,,non_evaluable,no_in_window_spike,conditional_spike_absence,conditional_on_recording_and_model_spikes
41,471087830,15,short_square_first_spiking,glif_recording_grid,absolute_steady_state_delta_voltage_error_mV,,non_evaluable,not_applicable_to_protocol,protocol_structural,long_square_coverage_contract
42,471087830,15,short_square_first_spiking,perisomatic_recording_grid_playback,absolute_spike_count_error,0,calculated,,calculated,unconditional
42,471087830,15,short_square_first_spiking,perisomatic_recording_grid_playback,absolute_first_spike_latency_error_ms,,non_evaluable,no_in_window_spike,conditional_spike_absence,conditional_on_recording_and_model_spikes
42,471087830,15,short_square_first_spiking,perisomatic_recording_grid_playback,absolute_steady_state_delta_voltage_error_mV,,non_evaluable,not_applicable_to_protocol,protocol_structural,long_square_coverage_contract
43,471087830,90,short_square_triple_first_spiking,glif_stored_grid,absolute_spike_count_error,2,calculated,,calculated,unconditional
43,471087830,90,short_square_triple_first_spiking,glif_stored_grid,absolute_first_spike_latency_error_ms,7.187337210378786,calculated,,calculated,conditional_on_recording_and_model_spikes
43,471087830,90,short_square_triple_first_spiking,glif_stored_grid,absolute_steady_state_delta_voltage_error_mV,,non_evaluable,not_applicable_to_protocol,protocol_structural,long_square_coverage_contract
44,471087830,90,short_square_triple_first_spiking,glif_recording_grid,absolute_spike_count_error,2,calculated,,calculated,unconditional
44,471087830,90,short_square_triple_first_spiking,glif_recording_grid,absolute_first_spike_latency_error_ms,7.197426583740896,calculated,,calculated,conditional_on_recording_and_model_spikes
44,471087830,90,short_square_triple_first_spiking,glif_recording_grid,absolute_steady_state_delta_voltage_error_mV,,non_evaluable,not_applicable_to_protocol,protocol_structural,long_square_coverage_contract
45,471087830,90,short_square_triple_first_spiking,perisomatic_recording_grid_playback,absolute_spike_count_error,1,calculated,,calculated,unconditional
45,471087830,90,short_square_triple_first_spiking,perisomatic_recording_grid_playback,absolute_first_spike_latency_error_ms,6.170000005189191,calculated,,calculated,conditional_on_recording_and_model_spikes
45,471087830,90,short_square_triple_first_spiking,perisomatic_recording_grid_playback,absolute_steady_state_delta_voltage_error_mV,,non_evaluable,not_applicable_to_protocol,protocol_structural,long_square_coverage_contract
46,471087830,48,long_square_prethreshold_candidate,glif_stored_grid,absolute_spike_count_error,57,calculated,,calculated,unconditional
46,471087830,48,long_square_prethreshold_candidate,glif_stored_grid,absolute_first_spike_latency_error_ms,,non_evaluable,no_in_window_spike,conditional_spike_absence,conditional_on_recording_and_model_spikes
